STOP_ID,STOP_NAME,latitude,longitude,TICKETZONE,ROUTEUSSP,geometry,
19970,Royal Park Railway Station (Parkville),-37.781193,144.952301,1,Upfield,c(2495798.8483493, 2413310.21104386)
19971,Flemington Bridge Railway Station (North Melbourne),-37.78814,144.939323,1,Upfield,c(2494656.13946131, 2412538.54040699)
19972,Macaulay Railway Station (North Melbourne),-37.794267,144.936166,1,Upfield,c(2494378.51090651, 2411858.34401394)
19973,North Melbourne Railway Station (West Melbourne),-37.807419,144.94257,1,"Flemington,Sunbury,Upfield,Werribee,Williamstown,Craigieburn",c(2494943.40980358, 2410399.01029085)
19974,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417,1,"Mernda,Hurstbridge",c(2499596.85010841, 2412482.84775391)
19975,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451,1,"Mernda,Hurstbridge",c(2499511.84425746, 2411317.3835099)
19976,Collingwood Railway Station (Abbotsford),-37.804526,144.99375,1,"Mernda,Hurstbridge",c(2499450.15562828, 2410721.59755041)
19977,North Richmond Railway Station (Richmond),-37.810398,144.9925,1,"Mernda,Hurstbridge",c(2499340.10676902, 2410069.87864626)
19978,West Richmond Railway Station (Richmond),-37.814949,144.991423,1,"Mernda,Hurstbridge",c(2499245.33969941, 2409564.7645896)
19979,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098,1,"Mernda,Hurstbridge",c(2498600.42285096, 2409389.54707769)
19983,Macleod Railway Station (Macleod),-37.726012,145.069143,2,Hurstbridge,c(2506095.61991902, 2419433.28358004)
19984,Watsonia Railway Station (Watsonia),-37.710958,145.083793,2,Hurstbridge,c(2507388.50141316, 2421102.98664563)
19985,Greensborough Railway Station (Greensborough),-37.703954,145.108247,2,Hurstbridge,c(2509545.48686018, 2421878.13045223)
19986,Montmorency Railway Station (Montmorency),-37.715296,145.121516,2,Hurstbridge,c(2510713.89718716, 2420617.95690059)
19987,Eltham Railway Station (Eltham),-37.71355,145.147822,2,Hurstbridge,c(2513033.44102364, 2420808.45153416)
19988,Diamond Creek Railway Station (Diamond Creek),-37.673297,145.158506,2,Hurstbridge,c(2513982.85558852, 2425274.27933658)
19989,Wattle Glen Railway Station (Wattle Glen),-37.663968,145.181615,2,Hurstbridge,c(2516023.36043247, 2426305.98069143)
19990,Hurstbridge Railway Station (Hurstbridge),-37.639398,145.192017,2,Hurstbridge,c(2516946.55317993, 2429030.95729721)
19991,Williamstown Railway Station (Williamstown),-37.867753,144.905323,1,Williamstown,c(2491670.20734478, 2403700.01947419)
19992,Williamstown Beach Railway Station (Williamstown),-37.863982,144.894484,1,Williamstown,c(2490716.06733109, 2404117.55882954)
19993,North Williamstown Railway Station (Williamstown),-37.857333,144.889069,1,Williamstown,c(2490238.72577507, 2404854.98787419)
19994,Newport Railway Station (Newport),-37.842718,144.8836,1,"Williamstown,Werribee",c(2489755.46705693, 2406476.51675383)
19995,Spotswood Railway Station (Spotswood),-37.830639,144.885933,1,"Williamstown,Werribee",c(2489959.2158141, 2407817.39113629)
19996,Yarraville Railway Station (Yarraville),-37.81585,144.889934,1,"Williamstown,Werribee",c(2490309.52932454, 2409459.19932261)
19997,Seddon Railway Station (Seddon),-37.809005,144.895672,1,"Williamstown,Werribee",c(2490813.91468813, 2410219.46941815)
20000,Watergardens Railway Station (Sydenham),-37.701129,144.77418,2,Sunbury,c(2480087.53177461, 2422173.47009093)
20001,Keilor Plains Railway Station (St Albans),-37.729279,144.793738,2,Sunbury,c(2481818.94484094, 2419053.22162982)
20002,St Albans Railway Station (St Albans),-37.744861,144.80005,2,Sunbury,c(2482378.95561169, 2417325.06623368)
20003,Ginifer Railway Station (St Albans),-37.760067,144.811348,2,Sunbury,c(2483377.97880635, 2415639.46725427)
20004,Albion Railway Station (Sunshine North),-37.777653,144.824704,"1,2",Sunbury,c(2484558.39669622, 2413689.93412802)
20005,Epping Railway Station (Epping),-37.652187,145.031068,2,Mernda,c(2502741.90862977, 2427628.27952457)
20006,Lalor Railway Station (Lalor),-37.665851,145.017193,2,Mernda,c(2501517.32235802, 2426112.14495725)
20007,Thomastown Railway Station (Thomastown),-37.680338,145.014279,2,Mernda,c(2501260.01610188, 2424504.41146736)
20008,Keon Park Railway Station (Thomastown),-37.69487,145.011884,2,Mernda,c(2501048.55617421, 2422891.65155354)
20009,Ruthven Railway Station (Reservoir),-37.707898,145.009517,2,Mernda,c(2500839.66995648, 2421445.80379075)
20010,Reservoir Railway Station (Reservoir),-37.716885,145.006996,"1,2",Mernda,c(2500617.3053028, 2420448.41692057)
20011,Regent Railway Station (Reservoir),-37.728403,145.002773,"1,2",Mernda,c(2500244.97513548, 2419170.12975049)
20012,Preston Railway Station (Preston),-37.738674,145.000522,"1,2",Mernda,c(2500046.53802835, 2418030.22247478)
20013,Bell Railway Station (Preston),-37.745562,145.000155,1,Mernda,c(2500014.17271663, 2417265.76803116)
20014,Thornbury Railway Station (Thornbury),-37.755052,144.998572,1,Mernda,c(2499874.68704301, 2416212.51984695)
20015,Croxton Railway Station (Northcote),-37.764101,144.997056,1,Mernda,c(2499741.13453124, 2415208.21990602)
20016,Northcote Railway Station (Northcote),-37.769865,144.995277,1,Mernda,c(2499584.4123807, 2414568.48985403)
20017,Merri Railway Station (Northcote),-37.777847,144.992972,1,Mernda,c(2499381.43004484, 2413682.59057873)
20019,Rushall Railway Station (Fitzroy North),-37.783217,144.992407,1,Mernda,c(2499331.68819692, 2413086.60007187)
20021,Sunshine Railway Station (Sunshine),-37.788536,144.832878,"1,2",Sunbury,c(2485280.59128197, 2412483.37416846)
20022,Tottenham Railway Station (West Footscray),-37.799251,144.862945,1,Sunbury,c(2487930.55702364, 2411298.38276943)
20023,West Footscray Railway Station (West Footscray),-37.801803,144.883985,1,Sunbury,c(2489783.83747246, 2411017.6131838)
20024,Middle Footscray Railway Station (Footscray),-37.802505,144.891472,1,Sunbury,c(2490443.25045897, 2410940.47802033)
20025,Footscray Railway Station (Footscray),-37.801083,144.903199,1,"Werribee,Williamstown,Sunbury",c(2491475.80087343, 2411099.4145517)
20026,South Kensington Railway Station (Kensington),-37.799531,144.925469,1,"Williamstown,Werribee",c(2493436.85533021, 2411273.42579723)
20030,Broadmeadows Railway Station (Broadmeadows),-37.683049,144.919613,2,Craigieburn,c(2492910.2468974, 2424200.64523092)
20031,Jacana Railway Station (Glenroy),-37.695131,144.915851,2,Craigieburn,c(2492579.61621388, 2422859.47219812)
20032,Glenroy Railway Station (Glenroy),-37.704536,144.91722,"1,2",Craigieburn,c(2492701.22815845, 2421815.79091587)
20033,Oak Park Railway Station (Oak Park),-37.71795,144.921519,"1,2",Craigieburn,c(2493081.53826655, 2420327.39526419)
20034,Pascoe Vale Railway Station (Pascoe Vale),-37.730756,144.928196,"1,2",Craigieburn,c(2493671.25572843, 2418906.60772264)
20035,Strathmore Railway Station (Strathmore),-37.743591,144.927316,1,Craigieburn,c(2493594.78841217, 2417482.07335632)
20036,Glenbervie Railway Station (Essendon),-37.74721,144.920939,1,Craigieburn,c(2493033.10463655, 2417079.97510077)
20037,Essendon Railway Station (Essendon),-37.756012,144.916198,1,Craigieburn,c(2492616.13598739, 2416102.73316184)
20038,Moonee Ponds Railway Station (Moonee Ponds),-37.765707,144.919161,1,Craigieburn,c(2492878.15394624, 2415026.95346264)
20039,Ascot Vale Railway Station (Ascot Vale),-37.775306,144.921821,1,Craigieburn,c(2493113.39303457, 2413961.80741711)
20040,Newmarket Railway Station (Flemington),-37.787328,144.928978,1,Craigieburn,c(2493744.86223247, 2412628.02869213)
20041,Kensington Railway Station (Kensington),-37.79378,144.930524,1,Craigieburn,c(2493881.57460861, 2411912.04540496)
20042,Box Hill Railway Station (Box Hill),-37.819222,145.121429,2,"Lilydale,Belgrave",c(2510691.53422071, 2409083.7272359)
22180,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein",c(2495722.50652044, 2409232.18701201)
40220,Roxburgh Park Railway Station (Roxburgh Park),-37.638231,144.935404,2,Craigieburn,c(2494299.64147687, 2429175.62309189)
40221,Craigieburn Railway Station (Craigieburn),-37.601817,144.94332,2,Craigieburn,c(2494995.85986932, 2433217.25329759)
44817,Coolaroo Railway Station (Coolaroo),-37.661003,144.926056,2,Craigieburn,c(2493476.62496873, 2426647.78708475)
45793,Lynbrook Railway Station (Lynbrook),-38.057341,145.249275,2,Cranbourne,c(2521878.2536899, 2382632.27808847)
45794,Cardinia Road Railway Station (Pakenham),-38.07129,145.437791,2,Pakenham,c(2538416.25754941, 2381024.2487439)
45795,South Morang Railway Station (South Morang),-37.649159,145.067032,2,Mernda,c(2505915.53468098, 2427962.68736968)
46468,Williams Landing Railway Station (Williams Landing),-37.869865,144.747445,2,Werribee,c(2477779.69802302, 2403440.2752169)
52095,Southland Railway Station (Cheltenham),-37.958756,145.049121,2,Frankston,c(2504317.29997532, 2393602.43182922)
52159,Middle Gorge Railway Station (South Morang),-37.644061,145.092144,2,Mernda,c(2508131.98413174, 2428526.61573399)
52160,Hawkstowe Railway Station (South Morang),-37.622995,145.097396,2,Mernda,c(2508597.85508498, 2430864.03946191)
52161,Mernda Railway Station (Mernda),-37.602548,145.100885,2,Mernda,c(2508908.25149505, 2433132.89838622)
15351,Sunbury Railway Station (Sunbury),-37.579091,144.727319,2,Sunbury,c(2475916.52373874, 2435706.33332638)
15353,Diggers Rest Railway Station (Diggers Rest),-37.627017,144.719922,2,Sunbury,c(2475278.82220664, 2430385.71754875)
19827,Stony Point Railway Station (Crib Point),-38.374235,145.221837,2,Stony Point,c(2519388.19172469, 2347460.30333002)
19828,Crib Point Railway Station (Crib Point),-38.366123,145.204043,2,Stony Point,c(2517834.99299206, 2348364.35754828)
19829,Morradoo Railway Station (Crib Point),-38.354033,145.189602,2,Stony Point,c(2516575.44205242, 2349709.17531694)
19830,Bittern Railway Station (Bittern),-38.33739,145.178027,2,Stony Point,c(2515567.00997425, 2351558.77584055)
19831,Hastings Railway Station (Hastings),-38.305659,145.18598,2,Stony Point,c(2516269.30421798, 2355080.0666141)
19832,Tyabb Railway Station (Tyabb),-38.259815,145.186401,2,Stony Point,c(2516316.08305502, 2360169.24635711)
19833,Somerville Railway Station (Somerville),-38.225342,145.176245,2,Stony Point,c(2515434.22369519, 2363997.79725662)
19834,Baxter Railway Station (Baxter),-38.194043,145.160526,2,Stony Point,c(2514063.57312457, 2367474.6691571)
19835,Glen Iris Railway Station (Glen Iris),-37.859308,145.058225,1,Glen Waverley,c(2505124.12038599, 2404639.89676078)
19836,Leawarra Railway Station (Frankston),-38.152034,145.139534,2,Stony Point,c(2512231.38495572, 2372140.82206606)
19837,Darling Railway Station (Malvern East),-37.868957,145.062951,"1,2",Glen Waverley,c(2505539.2904474, 2403568.69445453)
19838,East Malvern Railway Station (Malvern East),-37.87693,145.069393,"1,2",Glen Waverley,c(2506105.43200099, 2402683.37584621)
19839,Holmesglen Railway Station (Malvern East),-37.874402,145.090662,"1,2",Glen Waverley,c(2507976.87309729, 2402962.386779)
19840,Jordanville Railway Station (Mount Waverley),-37.873603,145.11209,2,Glen Waverley,c(2509862.18118095, 2403049.06224336)
19841,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",c(2496095.76894816, 2409893.30195019)
19842,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",c(2496706.76549847, 2410120.20103009)
19843,Parliament Railway Station (Melbourne City),-37.811054,144.972911,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",c(2497615.27539842, 2409996.75690804)
19844,Belgrave Railway Station (Belgrave),-37.909102,145.355291,2,Belgrave,c(2531244.17710349, 2399056.49882937)
19845,Tecoma Railway Station (Tecoma),-37.908118,145.342995,2,Belgrave,c(2530163.304409, 2399169.67640905)
19846,Upwey Railway Station (Upwey),-37.903691,145.331333,2,Belgrave,c(2529139.45199157, 2399664.66698511)
19847,Alamein Railway Station (Ashburton),-37.86832,145.079656,1,Alamein,c(2507009.11805453, 2403638.29612553)
19848,Ashburton Railway Station (Ashburton),-37.861968,145.081344,1,Alamein,c(2507158.24436608, 2404343.17889559)
19849,Burwood Railway Station (Glen Iris),-37.851563,145.080511,1,Alamein,c(2507085.91920163, 2405498.08308916)
19850,Hartwell Railway Station (Camberwell),-37.843985,145.07556,1,Alamein,c(2506650.89633319, 2406339.51349177)
19851,Willison Railway Station (Camberwell),-37.835716,145.070298,1,Alamein,c(2506188.43219802, 2407257.6339795)
19852,Riversdale Railway Station (Camberwell),-37.831505,145.069646,1,Alamein,c(2506131.38606867, 2407725.03836997)
19853,Camberwell Railway Station (Camberwell),-37.826567,145.058697,1,"Belgrave,Lilydale,Alamein",c(2505167.89226565, 2408273.74997773)
19854,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein",c(2497091.88726464, 2409191.81949388)
19855,Frankston Railway Station (Frankston),-38.14299,145.126162,2,"Stony Point,Frankston",c(2511060.60545983, 2373146.38398769)
19856,Kananook Railway Station (Seaford),-38.121742,145.135295,2,Frankston,c(2511864.59419372, 2375503.8910525)
